,name,price_current,price_original,reviews_number,seller,score,brand,Series,Color,height_cm,width_cm,screen_size_in,resolution_x,resolution_y,proc_brand,Tipo de procesador,proc_speed_ghz,ram,Tecnología de la memoria,ram_type,ram_max,memory,Descripción del disco duro,memory_interface,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,gpu_ram,gpu_interface,Tipo de conexión inalámbrica,usb_2,usb_3,Tipo de unidad óptica,os,battery_wh,battery_cells,weight_kg,Número de modelo del producto,since
10,"Asus Laptop Gamer TUF 15.6"",GeForce RTX 2060, Ryzen 5, 16GB RAM, 1TB HDD + 256GB SSD, FX505DV-AL111T",28499.0,,1,Asus,5.0,Asus,FX505DV-AL111T,,30.3,9.4,16.0,,,AMD,Ryzen 5 3500U,3.5,16,DDR4,DDR4,32.0,1,Unidad híbrida,Serial ATA,,Integrada,DDR4 SDRAM,16,Integrado,,1,2,CD-ROM,Windows 10,10000000,1.0,3.7,FX505DV-AL111T,2020-03-05
11,"HP Laptop 240 G7 14"" Intel Celeron N4000 4GB 500GB Windows 10 Home",7590.41,9417.57,23,HP,4.1,HP,"HP 240 G7,Intel® Celeron® N4000 ,Windows® 10 Home 64bit Single Language, 500 HDD, 4 GB (1x4GB) DDR4 2400, LCD 14, con 2 TB de almacenamiento en la nube por 1 año",,,,14.0,,,Intel,Celeron N,2.6,4,DDR4,DDR3,4.0,500,Mechanical Hard Drive,Serial ATA,,Integrated,DDR DRAM,,Integrado,,2,1,DVD-R,Windows 10 Home,5,2.0,2.2,6EH30ELIFE2TB,2019-08-03
12,"Asus Laptop VivoBook, 14"", Core i5 10a Gen, 8GB RAM, 512GB SSD + 32GB Optane, Plata, X412FA-BV787T",15999.0,,,Asus,,Asus,X412FA-BV787T,,,,14.0,,,Intel,Core i5-10210U,1.6,8,DDR4,,12.0,8,Unidad híbrida,PCIE x 2,,Integrada,DDR4 SDRAM,8,Integrado,,2,1,Ninguno,Windows 10,1000,1.0,2.2,X412FA-BV787T,2020-03-10
13,"Goldengulf 2020 - Ordenador portátil de 10,1 pulgadas Android 6.0 Quad Core Mini Notebook Netbook 8 GB WiFi Webcam USB Netflix YouTube Google Player Flash, Blanco, 25.6 cm",3783.7,,11,Goldengulf,2.8,Goldengulf,CLP-290,Blanco,0.25,19.0,10.0,,,Allwinner,,,1,DDR3,DDR3,,8,,Ethernet 100Base-T,1,,,,,802.11bgn,2,,,Android,3,1.0,1.1,CLP-290,2020-04-09
14,"msi GF75 Thin 9SD-201MX 17.3"" 120Hz FHD Gaming Laptop, Intel Core i7-9750H, 16GB RAM,GTX 1660 Ti 6GB, 1TB HDD, 256GB SSD, Win10",53098.49,,,MSI,,msi,GF75 Thin 9SD-201MX,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,51,3.0,3.5,,2020-04-13
15,"Asus Laptop Gamer ROG Strix G, 15.6"", GeForce GTX 1650, Core i7, 16GB RAM, 512 BSSD, Numberpad, G531GT-AL249T",29999.0,,,Asus,,Asus,G531GT-AL249T,,,,16.0,,,Intel,Core i7 8750H,4.5,16,DDR4,,32.0,,Tarjeta multimedia integrada,,,GeForce GTX 1650,GDDR5,,PCI-E,,1,2,Ninguno,Windows 10,1000,1.0,5.8,,2020-03-31
16,"Acer Aspire E 15, Intel Core 8º generación,",14599.0,,1516,Acer,4.1,Acer,,Obsidian Black,0.3,25.9,16.0,,,Intel,Intel Core i5,1.6,8,,DDR,32.0,256,,,MX150,Dedicated,GDDR5,,Integrado,802.11ac,1,,DVD-RW,Windows 10,28,6.0,3.2,E5-576G-5762,2018-03-05
17,"HP Laptop Probook 440 G5 Intel Core I5 7200 256 GB SSD y 8 GB Ram Win 10 Pro 13"" 2 TB en la nuebe",13999.0,21999.0,2,HP,3.0,HP,,,,,14.0,,,Intel,Core i5 7200U,2.5,8,,DDR4,,256,,eSATA,,,,,,Bluetooth,,,,Windows,4,3.0,2.2,,2019-12-09
18,"Dell Latitude 3480 2.50GHz i5-7200U 14"" 1366 x 768Pixeles Negro Portátil - Ordenador portátil (Intel® Core™ i5 de la séptima generación, 2.50 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 500 GB)",11989.0,22128.0,1,Dell,2.0,Dell,3480,Negro,8.1,31.8,14.0,1366,768,Intel,8032,2.5,4,"SO-DIMM, DDR4-SDRAM",,16.0,500,Mechanical Hard Drive,Serial ATA,integrated_graphics,No disponible,,,,802.11ac,1,,No,Windows 10 Pro,56,3.0,3.3,KWG13,2017-05-26
19,"Hyundai HN4C401EB TABLET_COMPUTER, Wi-Fi, 14.1"", AMD Athlon_Dual_Core 1.10GHz, 4GB, DDR3, 500GB, DOS",6598.8,,4,Hyundai,2.9,Hyundai,Hyundai Technology,Plateado,0.2,35.2,14.0,,,Intel,Intel Celeron,2.4,4,DDR3,DDR3,4.0,32,,,,,,,,802.11g,1,2,None,Windows 10 Home,18,2.0,2.0,332050,2018-06-05
20,"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)",6139.0,,3206,Asus,4.1,Asus,Chromebook,N3060 | 16G | Ruggedized,20.1,0.23,12.0,1366,768,Intel,Intel Celeron,1.6,4,LPDDR3-SDRAM,DDR3L-1600,8.0,16,,Solid State,Intel HD Graphics,integrated,Shared,,Integrado,802.11ac,,,No Optical Drive,Chrome,38,2.0,1.8,C202SA-YS02,2016-03-23
21,"Asus Laptop ZenBook 15.6"", GeForce GTX 1650, Core i7 10a Gen, 16GB RAM, 1TB SSD, Dual Screen, Royal Blue, UX534FTC-A8068T",35999.0,,,Asus,,Asus,UX534FTC-A8068T,,,,16.0,,,Intel,Core i7-10510U,4.9,16,DDR5 RAM,,16.0,,Memoria flash de estado sólido,,,NVIDIA GeForce GTX 1650 MAX Q,DDR5 SDRAM,16,PCI-E,,1,2,Ninguno,Windows 10,,1.0,3.0,,2020-03-31
22,"Asus Laptop VivoBook 14"" Core i3 10a Gen, 4GB RAM + 4GB DDIM, 512GB SSD + 32GB Optane, Azul, X412FA-BV786T",12499.0,13999.0,,Asus,,Asus,X412FA-BV786T,,,,14.0,,,Intel,Core i3-10110U,4.1,8,DDR4,,12.0,,Memoria flash de estado sólido,,,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1000,1.0,2.2,,2020-03-31
23,"Dell 2019 Inspiron 15 6"" HD Touchscreen Flagship Premium Laptop Computer, 8th Gen Intel Core i3-8145U Up to 3.1GHz, 8GB DDR4 RAM, 128GB SSD, HDMI, USB 3.0, Bluetooth, WiFi, Windows 10 Home",10879.0,,43,Dell,4.1,Dell,Dell Inspiron,,7.6,49.3,16.0,1920,1080,Intel,Core i3 Family,2.1,8,DDR4,DDR4,8.0,128,,Solid State,AMD Radeon R7,integrated,DDR4 SDRAM,8,Integrado,802.11bgn,1,,No Optical Drive,Windows 10,40,3.0,2.6,I3583-3756BLK-PUS,2019-07-14
24,"Lenovo ThinkPad T440 - Ordenador portátil (Ultrabook, Black, Clamshell, 2.9, Intel Core i7, i7-4600M)",6343.48,,2,Lenovo,3.3,Lenovo,T440,Black,23.2,0.21,14.0,1366,768,Intel,Intel Core i5-4200U,2.9,4,DDR3-SDRAM,DDR3,12.0,500,HDD 7200 rpm,,Intel HD Graphics 4400,Intel HD Graphics 4600,,,,802.11ac,,2,None,Windows 8 Pro,47,6.0,2.9,20B6008EUS,2014-03-23
25,"MSI GF63 Thin 9SC-403MX 15.6"" 60Hz FHD Gaming Laptop, Intel Core i5-9300H, 8GB RAM, GTX1650 Max Q 4GB, 1TB HDD, 128GB SSD, Win10 Home",26549.24,27998.99,36,MSI,4.3,MSI,GF63,Negro,25.4,0.22,16.0,,,Intel,Intel Core i5,2.4,8,,,64.0,,,,,,,,,802.11ac,,1,,Windows 10,51,3.0,3.5,GF63 Thin 9SC-403MX,2019-06-01
26,"ASUS Laptop BR1091T. Intel Core i5. 8GB RAM. 1TB HDD. Windows 10. 15.6"" Gris",14699.0,,50,Asus,4.5,Asus,Asus Laptop,Gris,26.6,0.22,16.0,,,Intel,Core i5 8250U,1.6,8,,,16.0,,SATA 1TB 5400RPM 2.5' HDD,,Intel UHD Graphics 620,,,,,802.11bgn,,1,,Windows 10,42,1.0,3.3,X507UA-BR1091T,2019-08-05
27,"HP Laptop, Pantalla de 15"" HD, Procesador A9, 4GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Pale Gold (15-db0004la)",,,32,HP,3.7,HP,15-db0004la,"Oro, Gris",0.23,24.4,16.0,1366,768,AMD,None,3.7,4,SO-DIMM,,4.0,1000,,,,No disponible,,,,802.11bgn,1,2,No,Windows 10,41,3.0,2.5,15-db0004la,2018-05-30
28,"Asus Laptop ZenBook Duo 14"", GeForce MX250, Core i5 10a Gen, 8GB RAM, 512GB SSD, UX481FL-BM066R",33999.0,39999.0,,Asus,,Asus,UX481FL-BM066R,,23.1,5.5,14.0,,,Intel,Core i5-10210U,1.6,8,GDDR5,,8.0,,Unidad híbrida,PCIE x 8,NVIDIA GeForce MX250,Integrada,GDDR5,8,Integrado,,,3,Ninguno,Windows 10 Pro,1000,1.0,3.2,90NB0P61-M03070,2020-03-06
29,"Laptop Dell Inspiron 5593, Pantalla 15.6"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color AZUL , I5593_i58256LW10s_520",15966.24,19299.0,2,Dell,3.0,Dell,Inspiron,Azul,0.08,36.4,16.0,,,Intel,Intel Core i5,3.6,8,,,16.0,,,,,,,,,802.11ac,,,,Windows 10,42,3.0,2.6,I5593_i58256LW10s_520,2019-10-14
30,"Acer Laptop, Pantalla de 15.6"", Intel  Core i5_8250u 1.6GHz, 8GB RAM, 1TB HDD, Bluetooth+ Wi-Fi, Windows 10, Negro (A515-51-52NC)",14499.0,,21,Acer,4.2,Acer,COMACR7520,Negro,31.0,7.0,16.0,,,Intel,Intel Core i5,2.8,8,,,256.0,1000,,,,,,,Integrado,802.11b/g,,2,None,Windows 10,48,4.0,3.0,COMACR7520,2018-07-01
31,"Laptop Dell Inspiron 3593, Pantalla 14"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Plata, I3593_i58256SW10snOD_520_OPP",14499.0,,,Dell,,Dell,Inspiron 15 3593,,,,16.0,,,Intel,None,3.6,8,DDR4,,16.0,,Flash Memory Solid State,Solid State,,Integrated,DDR4 SDRAM,,Integrado,,1,,None,Windows 10,42,3.0,2.8,I3593_i58256SW10snOD_520_OPP,2019-11-04
32,"Lanix 45447 NOTEBOOK_COMPUTER,, 14inches, Intel CELERON N4000 HASTA 2.6GHz, MEMORIA RAM 4GB, ALMACENAMIENTO 128GB SSD, Windows 10 HOME",7360.0,,4,Lanix,3.5,Lanix,LANIX,Azul,21.0,10.0,14.0,1920,1080,Intel,Intel Core i5-3330S,2.6,4,DDR3,DDR4,64.0,128,128GB SSD,Serial ATA,INTEL UHD 600,,DDR4 SDRAM,,,Bluetooth,2,3,None,Windows 10,42,3.0,1.7,45447,2019-06-06
33,"Acer Chromebook Spin 15 Convertible Laptop Intel Pentium N4200, Pantalla táctil Full HD de 15,6"", 4 GB LPDDR4, 32 GB eMMC, Wi-Fi 802.11ac, Google Chrome, CP315-1H-P8QY, Plateado",10926.62,,,Acer,,Acer,CP315-1H-P8QY,Plateado,0.2,26.2,16.0,1920,1080,Intel,Pentium,1.1,4,"DDR, LPDDR4",DDR,4.0,32,,Solid State,,Integrated,Shared,,Integrado,802.11a/b/g/n/ac,,,No Optical Drive,Chrome OS,56,3.0,2.9,CP315-1H-P8QY,2019-08-14
34,"MSI GL75 9SE-224MX Notebook_Computer, 15.6inches, Intel Core_i7 2.6GHz, 6GB, GB, Windows 10,",62658.19,,,MSI,,MSI,GL-75,Negro,27.1,0.28,16.0,,,Intel,Intel Core i7,2.6,6,DDR,DDR,64.0,,,,,,,,,802.11ac,,3,,Windows 10,51,1.0,5.5,GL75 9SE-224MX,2019-10-01
35,"Dell Laptop Gaming 515,  Core i7 9a.Gen, RAM 16GB, 1TB, NVIDIA GeForce RTX 2060, Windows 10, Negro (G515Vu_i7N16112860W10s_120)",35499.0,,5,Dell,3.6,Dell,Inspiron  G5,Negro,0.09,36.4,16.0,,,Intel,Intel Core i7,4.1,16,,,32.0,1000,,,NVIDIA GeForce RTX 2060,,,,,802.11ac,,,,Windows 10,60,4.0,4.2,G515Vu_i7N16112860W10s_120,2019-06-14
36,"HP x360 Convertible 14-cd0004la Laptop 14"" HD Táctil, Intel Core i3-8130U 2.2GHz, 4GB RAM, 1TB HDD, Windows 10",12012.0,,85,HP,3.5,HP,14-cd0004la,"Negro, Azul",0.2,22.4,14.0,1366,768,Intel,Intel Core i3,2.2,4,DDR4-SDRAM,,4.0,1000,,Serial ATA,,Intel® UHD Graphics 620,,,,802.11bgn,,3,No,Windows 10,41,3.0,2.2,14-cd0004la,2018-05-30
37,"Lenovo 81N5001GLM Notebook_Computer,Bluetooth+ Wi-Fi,15.6inches,Intel Core_i3 2.1GHz,4GB,DDR3,1000GB,Windows 10,Negro",11808.0,13999.0,2,Lenovo,5.0,Lenovo,ideaPad C340-15IWL,Negro,25.0,0.2,16.0,,,Intel,Intel Core i3,2.1,4,DDR3,DDR4,16.0,1000,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5,3.0,2.9,81N5001GLM,2019-08-26
38,Dell Laptop Latitude 3400 Intel Core I5 8265 8 GB de Ram 1 TB DD con Win 10 Pro,14399.0,17000.0,2,Dell,5.0,Dell,,,,,14.0,,,Intel,Core i5 8250U,1.6,8,,DDR,,1,,Solid State,,,,,,,,,,Windows XP Professional Edition,42,1.0,2.6,,2019-12-16
39,"ASUS VivoBook BR567T. AMD Dual Core R3-2200U. 6GB RAM. AMD Radeon Vega 3 Graphics. 1TB. Windows 10. 15.6"". Gris",12499.01,,3,Asus,5.0,Asus,ASUS Vivobook,Matt Dark Grey,36.1,24.4,16.0,,,AMD,None,2.5,6,,,16.0,1000,Sata,,AMD Radeon Vega 3,,,,,802.11ac,,1,,Windows 10,3,1.0,3.5,X505ZA-BR567T,2019-04-15
40,"Alienware Laptop Gaming DELL 15YAW,  Core i7 9a.Gen, RAM 16GB,  512GB SSD, NVIDIA GeForce RTX 2070, Windows 10, Blanco (A15YAW_i7165122070W10s_520)",61599.0,,4,Alienware,5.0,Alienware,Alienware R2,Multicolor,0.08,36.0,16.0,,,Intel,Intel Core i7,4.5,16,,,16.0,,,,NVIDIA GeForce RTX 2070,,,,,802.11ac,,,,Windows 10,76,6.0,4.7,A15YAW_i7165122070W10s_520,2019-08-05
41,"2020 HP 15.6"" Touchscreen Laptop Computer, Quad-Core AMD Ryzen 7 3700U up to 4.0GHz, 12GB DDR4 RAM, 256GB PCIe SSD, 802.11ac WiFi, Bluetooth 4.2, USB 3.1 Type-C, HDMI, Silver, Windows 10 Home",21099.0,,19,HP,4.4,HP,15-ef,,0.2,24.2,16.0,1366,768,AMD,AMD R Series,2.3,12,"SDRAM, DDR4",DDR4,12.0,256,,PCIE x 4,AMD Radeon RX Vega 10 Graphics,amd_radeon_rx,DDR3 SDRAM,2,Integrado,"802.11b/g, 802.11ac, 802.11bgn, 802.11b",,,No Optical Drive,Windows 10,41,3.0,2.2,15-ef,2020-01-12
42,"Lenovo Laptop Gaming Legion Y740-15IRH 17.3"", NVIDIA GEFORCE RTX 2070_TI, Intel Core i7, RAM 32GB, 512GB SSD + 1TB HDD Negro",53999.0,59999.0,4,Lenovo,3.3,Lenovo,Legion,Negro,30.5,0.22,17.0,,,Intel,Intel Core i7,2.6,32,DDR3,DDR4,32.0,1000,,,NVIDIA GeForce RTX 2070,,,,PCI,802.11bgn,,1,None,Windows 10,5,3.0,5.4,Legion Y740-17IRHg,2019-08-26
43,"Acer Swift 3, 14"" Full HD IPS, 10th Gen Intel Core i5-1035G1, 8GB LPDDR4, 256 GB PCIe NVMe SSD, Intel Wireless Wi-Fi 6 AX201 802.11ax, Teclado retroiluminado, Windows 10, SF314-57-59EY, Gris",19024.05,,7,Acer,3.7,Acer,SF314-57-59EY,Gris,0.16,21.7,14.0,,,Intel,,,8,LPDDR4,,8.0,256,,Solid State,,Integrated,Shared,,Integrado,802.11ax,1,,No Optical Drive,Windows 10 Home,50,3.0,2.0,SF314-57-59EY,2019-12-06
44,"Lenovo Laptop IdeaPad S340-15API 15.6"", AMD RYZEN3, RAM 8GB, 2TB HDD Silver",11599.0,12499.0,7,Lenovo,4.2,Lenovo,IdeaPad S340-15API,Plata,24.5,0.18,16.0,,,AMD,None,3.5,8,DDR3,DDR4,12.0,2000,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5,3.0,2.5,81NC0026LM,2019-08-26
45,"HP 14 Series 14"" HD SVA BrightView WLED-Backlit Laptop, Intel 10th Gen Core i3-1005G1 up to 3.4GHz, 4GB DDR4, 128GB SSD, USB 3.1-C, Webcam, 802.11ac, Bluetooth, HDMI, Windows 10 Home in S Mode",13590.0,,2,HP,5.0,HP,Notebook,,0.18,32.4,14.0,,,Intel,Intel Core i3,3.4,4,DDR4,DDR4,,128,,USB,Intel® UHD Graphics,,,,,802.11ac,,,,Windows 10,41,3.0,2.0,HP 14,2019-12-18
46,"LAPTOP GAMING DELL ALIENWARE M15 15.6"", GEFORCE RTX 2080,  CORE i7 8 Gen. RAM 16GB, 1TB DD + 256SSD PLATA (A15OR_i716125680W10s_120)",69999.01,,,Alienware,,Alienware,Alienware m15,,0.1,36.3,16.0,,,Intel,Intel Core i7,4.1,16,,,16.0,1000,,,NVIDIA GeForce RTX 2080,,,,,802.11ac,,,,Windows 10,60,3.0,4.9,A15OR_i716125680W10s_120,2019-02-25
47,"Asus TUF Thin & Light Gaming Laptop PC (FX504), 8th Gen Intel Core i7 | GTX 1050 Ti 4GB, Black Matter Edition",24399.0,,506,Asus,4.2,Asus,FX504GE-ES72,Negro,0.25,26.2,16.0,1920,1080,Intel,,2.2,8,DDR4-SDRAM,DDR4,32.0,256,,Serial ATA-600,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,GDDR5,,PCI-E,802.11a/b/g/n/ac,1,,No,Windows 10 Home,48,4.0,3.5,FX504GE-ES72,2018-07-08
48,"ASUS VivoBook BR410T. AMD 2-Core A6. 6GB RAM. 1TB HDD.Windows 10.  15.6"". Roja",10999.0,,,Asus,,Asus,ASUS VivoBook 15,Rojo,24.3,0.2,16.0,,,AMD,Apple A6,2.6,4,,,6.0,,SATA 1TB 5400RPM 2.5' HDD,,AMD Radeon R4,,,,,802.11ac,,1,,Windows 10,42,1.0,2.5,X505BA-BR410T,2019-08-05
49,"MSI Prestige 15 A10SC-210MX 15.6"" 60Hz FHD Content Creator Laptop, Intel Core I7-10710U, 16GB RAM, GTX1650 MAX Q 4GB, 512GB SSD, Win10 Pro",45999.0,,1,MSI,5.0,MSI,Prestige 15,Negro,23.4,0.16,16.0,,,Intel,Intel Core i7,2.3,4,DDR,DDR,32.0,,,,,,,,,802.11ac,,2,,Windows 10,82,,3.7,Prestige 15 A10SC-210MX,2019-10-01
50,"Acer Chromebook 15 CB3-532-C42P Negro 39.6 cm (15.6"") 1366 x 768 Pixeles 1.6 GHz Intel® Celeron® N3060 - Ordenador portátil (Intel® Celeron®, 1.6 GHz, 39.6 cm (15.6""), 1366 x 768 Pixeles, 4 GB, 16 GB)",7046.36,,108,Acer,4.0,Acer,CB3-532-C42P,Negro,0.24,25.6,16.0,1366,768,Intel,Intel Celeron,1.6,4,LPDDR3-SDRAM,DDR3,4.0,16,SSD,eSATA,Intel HD Graphics 400,No disponible,Shared,,Integrado,Bluetooth,,,No,Chrome OS,56,3.0,2.7,CB3-532-C42P,2017-05-26
51,"Asus Vivobook S15 S532 Portátil Delgado y Ligero de 15,6"" FHD, Intel Core i5-10210U CPU, 8GB DDR4 RAM, 512 GB PCIe SSD, Windows 10 Home, cámara IR S532FA-DH55, Musgo Verde, 15-15.99 Inches",22388.81,,5,Asus,3.1,Asus,VivoBook S15 S532,Musgo verde,0.18,23.1,16.0,,,Intel,,,8,DDR4,DDR4,12.0,512,,Solid State,Intel UHD Graphics,Integrated,Shared,8,Integrado,"802.11ax, Bluetooth",2,,No Optical Drive,Windows 10 Home,42,3.0,2.9,S532FA-DH55-GN,2020-03-21
52,"HP 15-da0016la Laptop 15.6"" HD, Intel Core i7-8550U 1.8GHz, 4GB RAM, 1TB HDD, Gráficos Intel UHD 620, Windows 10",,,6,HP,4.2,HP,15-da0016la,Gris,5.0,40.0,16.0,1366,768,All winner,Intel Core i7,3.0,4,DDR4-SDRAM,,1024.0,1000,,,Intel UHD Graphics 620,No disponible,,,,Bluetooth,1,2,,Windows 10,41,2.0,2.5,3PX68LA,2018-05-30
53,"HP Premium 17-CA1003CY 17.3 Inch HD+ Touchscreen Laptop 2TB HDD (2.4GHz AMD Ryzen 7 Quad Core, 12GB DDR RAM, RX Vega 10 Graphics, Windows 10 Home) Blue",28650.0,,1,HP,4.0,HP,HP Notebook 17-ca1003cy,Azul,0.24,27.2,17.0,1600,900,AMD,AMD Ryzen 7,2.4,12,"DDR, SDRAM",DDR4,,2,,eSATA,AMD Radeon RX Vega 10,amd_radeon_rx,,,,802.11ac,,,,Windows 10,41,3.0,3.6,8LY28UA#ABA,2020-01-07
54,"LAPTOP GAMING DELL G7 17.3"", GEFORCE RTX 2060,  CORE i7 8 Gen. RAM 16GB, 1TB DD + 256SSD NEGRO (G717Vu_i7N16125660W10s_120)",42650.0,,14,Dell,3.6,Dell,COMDEL750,Negro,0.1,40.4,17.0,,,Intel,Core i7 8750H,4.1,256,DRAM,,16.0,1000,Flash Memory Solid State,,,Dedicated,DDR DRAM,,PCI-E,802.11ac,1,1,None,Windows 10 Home,60,4.0,4.7,G717Vu_i7N16125660W10s_120,2019-06-14
55,"Razer Blade Stealth 13 Ultrabook portátil: Intel Core i7-8565U 4-Core, Intel UHD Graphics 620, 13.3"" FHD 1080p, 8 GB de RAM, 256 GB SSD - Aluminio CNC, FHD 1080p., Intel UHD Graphics 620",41199.0,,203,Razer,4.2,Razer,Blade Stealth,,0.15,30.2,13.0,,,Intel,,,16,,,32.0,,,Solid State,Intel HD Graphics 620,Integrated,GDDR5,,PCI-E,Infrared,2,,None,Windows 10 Home,10,3.0,2.0,RZ09-02810E71-R3U1,2018-12-14
