name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Number of Lithium Ion Cells, ,Peso del envío,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Acer Laptop, Pantalla de 15.6"", Intel  Core i5_8250u 1.6GHz, 8GB RAM, 1TB HDD, Bluetooth+ Wi-Fi, Windows 10, Negro (A515-51-52NC)
                    
                

                
                    
                    
                
            ","$14,499.00",,21 calificaciones,Acer,4.2 de 5 estrellas,Acer,COMACR7520,Negro,31 centimeter,7 centimeter,15.6 inches,,Intel,Intel Core i5,2.8 GHz,8 GB,,,256 GB,1000 GB,,,,,,,Integrado,802.11b/g,,2,None,Windows 10,48 watt_hours,4, ,3 Kg,COMACR7520,1 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 3 Convertible Laptop, 14"" Full HD IPS Touch, 8th Gen Intel Core i7-8565U, 16GB DDR4, 512GB PCIe NVMe SSD, Backlit KB, Fingerprint Reader, Rechargeable Active Stylus, SP314-53N-77AJ
                    
                

                
                    
                    
                
            ","$23,091.80",,737 calificaciones,Acer,4.4 de 5 estrellas,Acer,SP314-53N-77AJ,,20 millimeters,23.9 centimeter,14 inches,,Intel,,,16 GB,DDR4,,16 GB,512 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,802.11ac,1,,None,Windows 10 Home,4515 milliamp_hours,3, ,2.6 Kg,SP314-53N-77AJ,22 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS Laptop BR1091T. Intel Core i5. 8GB RAM. 1TB HDD. Windows 10. 15.6"" Gris
                    
                

                
                    
                    
                
            ","$14,699.00",,49 calificaciones,Asus,4.5 de 5 estrellas,Asus,Asus Laptop,Gris,26.6 centimeter,22 millimeters,15.6 inches,,Intel,Core i5 8250U,1.6 GHz,8 GB,,,16 GB,,SATA 1TB 5400RPM 2.5' HDD,,Intel UHD Graphics 620,,,,,802.11bgn,,1,,Windows 10,42 watt_hours,1, ,3.3 Kg,X507UA-BR1091T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Huawei MateBook D 15"" - AMD Ryzen, Windows 10-1TB+256 GB, 8GB RAM,15.6 Pulgadas, Color Plateado (Mystic Silver)
                    
                

                
                    
                    
                
            ","$15,999.00",,4 calificaciones,Huawei,3.8 de 5 estrellas,HUAWEI,"MateBook D 15""",Negro,,,15.6 inches,,,,,8 GB,DDR4,DDR4 SDRAM,,,,,AMD Radeon RX Vega 8,,,,,,,,,Windows,,1, ,2.4 Kg,,31 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook 3.5GHz computadora Negro PC, Chromebook, Blanco, 4GB RAM, 32GB
                    
                

                
                    
                    
                
            ","$7,890.13",,"2,140 calificaciones",Acer,4.3 de 5 estrellas,Acer,CB5-132T,Blanco,19 millimeters,29.4 centimeter,11.6 inches,,Intel,Intel Celeron,1.6 GHz,4 GB,DDR3 SDRAM,,4 GB,32 GB,Solid State Drive,,Intel HD Graphics,intel_hd,,,Integrado,802.11ac,1,,,Chrome OS,32 watt_hours,6, ,2 Kg,CB5-132T-C1LK,5 de agosto de 2016
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad (81VS0001US)  - Laptop 14"" AMD A6-9220E 4GB(RAM)  64GB (Memoria Flash) Radeon R4, Wiondows 10
                    
                

                
                    
                    
                
            ","$8,090.00",,109 calificaciones,Lenovo,3.5 de 5 estrellas,Lenovo,81VS0001US,gris,8.1 centimeter,47 centimeter,14 inches,1366x768,AMD,A6-5200,1.8 GHz,4 GB,SO-DIMM,,4 GB,32 GB,Memoria flash de estado sólido,ATA-5,AMD Radeon R4,Integrada,DDR4 SDRAM,,Integrado,802.11ac,,2,Ninguno,Windows 10,2 watt_hours,2, ,2.1 Kg,81VS0001US,11 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 13-ag0002la Laptop 13.3"" FHD Táctil, AMD Ryzen 5 2500U 2.0GHz, 8GB RAM, 256 SSD, Gráficos AMD Radeon Vega, Windows 10
                    
                

                
                    
                    
                
            ","$19,999.00",,62 calificaciones,HP,4.4 de 5 estrellas,HP,13-ag0002la,Negro,15 millimeters,21.5 centimeter,13.3 inches,,AMD,None,3.2 GHz,8 GB,,,8 GB,,,,,,,,,802.11bgn,,3,,Windows 10,53.2 watt_hours,, ,2.4 Kg,13-ag0002la,1 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        HP 14-cd0009la Laptop 14"" HD Táctil, Intel Core i5-8250U 1.6GHz, 4GB RAM, 1TB HDD, Gráficos Intel UHD 620, Windows 10
                    
                

                
                    
                    
                
            ","$15,474.00",,85 calificaciones,HP,3.5 de 5 estrellas,HP,14-cd0009la,"Oro, Plata",20 millimeters,22.4 centimeter,14 inches,1920 x 1080 Pixeles,Intel,Intel Core i5,3.4 GHz,4 GB,DDR4-SDRAM,,16 GB,1000 GB,,Serial ATA,Intel UHD Graphics 620,No disponible,,,,802.11bgn,,3,No,Windows 10,41 watt_hours,, ,2.3 Kg,14-cd0009la,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1650,  CORE i5 9 Gen. RAM 8GB, 512 SSD BLANCO (G3590W_i585121650W10s_520)
                    
                

                
                    
                    
                
            ","$21,999.00"," $23,499.00",14 calificaciones,Dell,4.8 de 5 estrellas,Dell,Gaming G3 15,,9 millimeters,36.6 centimeter,15.6 inches,,Intel,Intel Core i5,4.1 GHz,8 GB,,,32 GB,,,,,,,,,802.11ac,,,,Windows 10,51 watt_hours,3, ,3.5 Kg,G3590W_i585121650W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1660 Ti,  CORE i5 9 Gen. RAM 8GB, 512 SSD BLANCO (G3590W_i585121660W10s_520)
                    
                

                
                    
                    
                
            ","$22,399.00"," $26,299.00",4 calificaciones,Dell,4.7 de 5 estrellas,Dell,Gaming G3 15,,9 millimeters,36.6 centimeter,15.6 inches,,Intel,Intel Core i5,4.1 GHz,8 GB,,,32 GB,,,,,,,,,802.11ac,,,,Windows 10,51 watt_hours,3, ,3.7 Kg,G3590W_i585121660W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI GF63 Thin 9SC-403MX 15.6"" 60Hz FHD Gaming Laptop, Intel Core i5-9300H, 8GB RAM, GTX1650 Max Q 4GB, 1TB HDD, 128GB SSD, Win10 Home
                    
                

                
                    
                    
                
            ","$26,549.24"," $27,998.99",36 calificaciones,MSI,4.3 de 5 estrellas,MSI,GF63,Negro,25.4 centimeter,22 millimeters,15.6 inches,,Intel,Intel Core i5,2.4 GHz,8 GB,,,64 GB,,,,,,,,,802.11ac,,1,,Windows 10,51 watt_hours,3, ,3.5 Kg,GF63 Thin 9SC-403MX,1 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI GL75 9SE-224MX Notebook_Computer, 15.6inches, Intel Core_i7 2.6GHz, 6GB, GB, Windows 10,
                    
                

                
                    
                    
                
            ","$31,860.07"," $33,398.43",,MSI,,MSI,GL-75,Negro,27.1 centimeter,28 millimeters,15.6 inches,,Intel,Intel Core i7,2.6 GHz,6 GB,DDR,DDR SDRAM,64 GB,,,,,,,,,802.11ac,,3,,Windows 10,51 watt_hours,1, ,5.5 Kg,GL75 9SE-224MX,1 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Laptop Latitude 3400 Intel Core I5 8265 8 GB de Ram 1 TB DD con Win 10 Pro
                    
                

                
                    
                    
                
            ","$14,399.00"," $17,000.00",1 calificación,Dell,5.0 de 5 estrellas,Dell,,,,,14 inches,,Intel,Core i5 8250U,1.60 GHz,8 GB,,DDR DRAM,,1 TB,,Solid State,,,,,,,,,,Windows XP Professional Edition,42 watt_hours,1, ,2.6 Kg,,16 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop IdeaPad L340-15API 15.6"", AMD RYZEN 5, RAM 8GB,2TB HDD Abyss Blue
                    
                

                
                    
                    
                
            ","$12,840.00"," $13,999.00",1 calificación,Lenovo,5.0 de 5 estrellas,Lenovo,Ideapad L340-15API,Azul Profundo,23 millimeters,36.3 centimeter,15.6 inches,,AMD,AMD R Series,2 GHz,8 GB,DDR4,SODIMM,,2 TB,,ATA,,,,,,,,,,Windows 10 Home,4 kilowatt_hours,4, ,2.6 Kg,L340-15API,10 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Alienware Laptop Gaming DELL 15YAW,  Core i7 9a.Gen, RAM 16GB,  512GB SSD, NVIDIA GeForce RTX 2060, Windows 10, Blanco (A15YAW_i7165122060W10s_520)
                    
                

                
                    
                    
                
            ","$49,999.00"," $54,799.00",1 calificación,Alienware,5.0 de 5 estrellas,Alienware,Alienware R2,,8 millimeters,36 centimeter,15.6 inches,,Intel,Intel Core i7,4.5 GHz,16 GB,,,16 GB,,,,NVIDIA GeForce RTX 2060,,,,,802.11ac,,,,Windows 10,76 watt_hours,6, ,4.9 Kg,A15YAW_i7165122060W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Laptop 2EN1 7390,  Core i7 10a.Gen, RAM 16GB, 1TB, 512GB SSD, Intel Iris Plus, Windows 10, Negro (X7390_i7T16512BW10Ps1PS_520)
                    
                

                
                    
                    
                
            ","$39,399.00",,2 calificaciones,Dell,5.0 de 5 estrellas,Dell,XPS Notebooks,,5 millimeters,29.6 centimeter,13.4 inches,,Intel,Intel Core i7,3.9 GHz,16 GB,,,32 GB,,,,,intel_iris,,,,802.11ac,,,,Windows 10,51 watt_hours,4, ,2.6 Kg,X7390_i7T16512BW10Ps1PS_520,23 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop Gaming Legion Y740-15IRH 17.3"", NVIDIA GEFORCE RTX 2070_TI, Intel Core i7, RAM 32GB, 512GB SSD + 1TB HDD Negro
                    
                

                
                    
                    
                
            ","$53,999.00"," $59,999.00",4 calificaciones,Lenovo,3.3 de 5 estrellas,Lenovo,Legion,Negro,30.5 centimeter,22 millimeters,17.3 inches,,Intel,Intel Core i7,2.6 GHz,32 GB,DDR3,DDR4 SDRAM,32 GB,1000 GB,,,NVIDIA GeForce RTX 2070,,,,PCI,802.11bgn,,1,None,Windows 10,5 watt_hours,3, ,5.4 Kg,Legion Y740-17IRHg,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BR567T. AMD Dual Core R3-2200U. 6GB RAM. AMD Radeon Vega 3 Graphics. 1TB. Windows 10. 15.6"". Gris
                    
                

                
                    
                    
                
            ","$12,499.01",,3 calificaciones,Asus,5.0 de 5 estrellas,Asus,ASUS Vivobook,Matt Dark Grey,36.1 centimeter,24.4 centimeter,15.6 inches,,AMD,None,2.5 GHz,6 GB,,,16 GB,1000 GB,Sata,,AMD Radeon Vega 3,,,,,802.11ac,,1,,Windows 10,3.4 watt_hours,1, ,3.5 Kg,X505ZA-BR567T,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook, 14"", Core i5 10a Gen, 8GB RAM, 512GB SSD + 32GB Optane, Plata, X412FA-BV787T
                    
                

                
                    
                    
                
            ","$15,999.00",,,Asus,,Asus,X412FA-BV787T,,,,14 inches,,Intel,Core i5-10210U,1.6 GHz,8 GB,DDR4,,12 GB,8 GB,Unidad híbrida,PCIE x 2,,Integrada,DDR4 SDRAM,8 GB,Integrado,,2,1,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.2 Kg,X412FA-BV787T,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad C340-15IWL NOTEBOOK_COMPUTER,Bluetooth+ Wi-Fi,15.6inches,Intel core_i5 2.1GHz,4GB,DDR3,1000GB,Windows 10,Plata
                    
                

                
                    
                    
                
            ","$14,999.00"," $16,999.00",4 calificaciones,Lenovo,3.0 de 5 estrellas,Lenovo,ideaPad C340-15IWL,Plata,25 centimeter,20 millimeters,15.6 inches,,Intel,Intel Core i5,2.1 GHz,4 GB,DDR3,DDR4 SDRAM,16 GB,1000 GB,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5 watt_hours,3, ,2.8 Kg,IdeaPad C340-15IWL,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Notebook IdeaPad S340-15IIL Ci5, 12 GB, 1 TB DD
                    
                

                
                    
                    
                
            ","$18,499.00",,,Lenovo,,Lenovo,Ideapad S340,Azul Profundo,18 millimeters,24.5 centimeter,,,,,,12 GB,,,,,,,,,,,,,,,,,30 watt_hours,1, ,2 Kg,S340-15IIL,19 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook 14, aluminio, 14 pulgadas, HD total, Intel Celeron Quad-Core N3160, 4 GB LPDDR3, 32 GB, Chrome, CB3 – 431-C5FM, Dorado cromado , Oro Lujoso
                    
                

                
                    
                    
                
            ","$7,734.11",,"1,612 calificaciones",Acer,4.1 de 5 estrellas,Acer,CB3-431,Oro Lujoso,17 millimeters,34.1 centimeter,14 inches,,Intel,Intel Celeron,1.6 GHz,4 GB,,DDR3 SDRAM,4 GB,32 GB,,,Intel HD Graphics,intel_hd,,,AGP,802.11ac,1,,,Chrome,39 watt_hours,3, ,2.2 Kg,CB3-431-C0AK,6 de agosto de 2016
"
                
                    
                    
                

                
                    
                    
                        MSI Modern 14 A10RB-645MX 14"" 60Hz FHD Content Creator Laptop, Intel Core I7-10510U, 8GB RAM, MX250 2GB, 512GB SSD, Win10 Home
                    
                

                
                    
                    
                
            ","$34,999.00",,1 calificación,MSI,5.0 de 5 estrellas,MSI,Modern 14,Gris,22.2 centimeter,16 millimeters,14 inches,,Intel,Intel Core i7,1.8 GHz,2 GB,DDR,DDR SDRAM,32 GB,,,,,,,,,802.11ac,,2,,Windows 10,50 watt_hours,, ,2.7 Kg,Modern 14 A10RB-645MX,1 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-10210U, 8GB DDR4, 256GB PCIe NVMe SSD, Intel Wi-Fi 6 AX201 802.11ax, Fingerprint Reader, Backlit KB, A515-54-59W2
                    
                

                
                    
                    
                
            ","$16,762.55",,74 calificaciones,Acer,3.9 de 5 estrellas,Acer,A515-54-59W2,Silver,18 millimeters,25 centimeter,15.6 inches,,Intel,Intel Core i5,4.2 GHz,8 GB,DDR4,DDR4 SDRAM,20 GB,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,802.11ax,1,,No Optical Drive,Windows 10 Home,3220 milliamp_hours,4, ,2.6 Kg,A515-54-59W2,5 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook 15.6"", GeForce GTX 1650, Core i7 10a Gen, 16GB RAM, 1TB SSD, Dual Screen, Royal Blue, UX534FTC-A8068T
                    
                

                
                    
                    
                
            ","$34,999.00",,,Asus,,Asus,UX534FTC-A8068T,,,,15.6 inches,,Intel,Core i7-10510U,4.9 GHz,16 GB,DDR5 RAM,,16 GB,,Memoria flash de estado sólido,,,NVIDIA GeForce GTX 1650 MAX Q,DDR5 SDRAM,16 GB,PCI-E,,1,2,Ninguno,Windows 10,,1, ,3 Kg,,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, AMD Ryzen 7 3700U, RX Vega 10 Graphics, 8GB DDR4, 512GB SSD, Teclado retroiluminado, Windows 10 Home, A515-43-R6DE
                    
                

                
                    
                    
                
            ","$18,472.16",,14 calificaciones,Acer,3.9 de 5 estrellas,Acer,A515-43-R6DE,Plateado,18 millimeters,24.7 centimeter,15.6 inches,,AMD,AMD Ryzen 7,4 GHz,8 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,,Solid State,AMD Radeon RX Vega 10,Integrated,Shared,,Integrado,802.11ac,2,,No Optical Drive,Windows 10 Home,3220 milliamp_hours,3, ,2.6 Kg,A515-43-R6DE,18 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Huawei Matebook X Pro New - Computadora portátil táctil 13.9"" 3K (Intel Core i7-8565U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Space Grey
                    
                

                
                    
                    
                
            ","$34,999.00",,5 calificaciones,Huawei,4.0 de 5 estrellas,HUAWEI,Matebook X Pro 2020,,,,13.9 inches,,,,,512 GB,,,,,,,NVIDIA GeForce MX250,,,,,,,,,Windows,,1, ,2.5 Kg,,14 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop IdeaPad S340-15API 15.6"", AMD RYZEN3, RAM 8GB, 2TB HDD Silver
                    
                

                
                    
                    
                
            ",,,7 calificaciones,Lenovo,4.2 de 5 estrellas,Lenovo,IdeaPad S340-15API,Plata,24.5 centimeter,18 millimeters,15.6 inches,,AMD,None,3.5 GHz,8 GB,DDR3,DDR4 SDRAM,12 GB,2000 GB,,,,,,,Integrado,802.11bgn,,2,,Windows 10,5 watt_hours,3, ,2.5 Kg,81NC0026LM,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BR410T. AMD 2-Core A6. 6GB RAM. 1TB HDD.Windows 10.  15.6"". Roja
                    
                

                
                    
                    
                
            ","$10,999.00",,,Asus,,Asus,ASUS VivoBook 15,Rojo,24.3 centimeter,20 millimeters,15.6 inches,,AMD,Apple A6,2.6 GHz,4 GB,,,6 GB,,SATA 1TB 5400RPM 2.5' HDD,,AMD Radeon R4,,,,,802.11ac,,1,,Windows 10,42 watt_hours,1, ,2.5 Kg,X505BA-BR410T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 5593, Pantalla 15.6"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color AZUL , I5593_i58256LW10s_520
                    
                

                
                    
                    
                
            ","$16,909.00"," $19,299.00",2 calificaciones,Dell,3.0 de 5 estrellas,Dell,Inspiron,Azul,8 millimeters,36.4 centimeter,15.6 inches,,Intel,Intel Core i5,3.6 GHz,8 GB,,,16 GB,,,,,,,,,802.11ac,,,,Windows 10,42 watt_hours,3, ,2.6 Kg,I5593_i58256LW10s_520,14 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook 15 CB3-532-C42P Negro 39.6 cm (15.6"") 1366 x 768 Pixeles 1.6 GHz Intel® Celeron® N3060 - Ordenador portátil (Intel® Celeron®, 1.6 GHz, 39.6 cm (15.6""), 1366 x 768 Pixeles, 4 GB, 16 GB)
                    
                

                
                    
                    
                
            ","$7,269.78",,106 calificaciones,Acer,4.1 de 5 estrellas,Acer,CB3-532-C42P,Negro,24 millimeters,25.6 centimeter,15.6 inches,1366 x 768 Pixeles,Intel,Intel Celeron,1.6 GHz,4 GB,LPDDR3-SDRAM,DDR3 SDRAM,4 GB,16 GB,SSD,eSATA,Intel HD Graphics 400,No disponible,Shared,,Integrado,Bluetooth,,,No,Chrome OS,56 watt_hours,3, ,2.7 Kg,CB3-532-C42P,26 de mayo de 2017
"
                
                    
                    
                

                
                    
                    
                        BIT W11046APB Core+ Windows 10 PC Desmontable, Cherry Trail CPU, 4GB RAM 64GB Almacenamiento, HD Touchscreen 11.6"", Negro, Plateado, 11-11.99 Inches
                    
                

                
                    
                    
                
            ","$6,199.43",,3 calificaciones,BIT,2.7 de 5 estrellas,BIT,W11046APS,Silver,17 millimeters,18.3 centimeter,11.6 inches,,Intel,Atom Z8300,1.44 GHz,4 GB,DDR3L,,4 GB,64 GB,,,Intel HD Graphics,Integrated,,,,Bluetooth,2,,None,Windows 10 Home,31.45 watt_hours,, ,2 Kg,W11046APS,3 de octubre de 2016
