name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Number of Lithium Ion Cells, ,Peso del envío,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop Gamer TUF 15.6"",GeForce RTX 2060, Ryzen 5, 16GB RAM, 1TB HDD + 256GB SSD, FX505DV-AL111T
                    
                

                
                    
                    
                
            ","$28,499.00",,1 calificación,Asus,5.0 de 5 estrellas,Asus,FX505DV-AL111T,,30.3 centimeter,9.4 centimeter,15.6 inches,,AMD,Ryzen 5 3500U,3.5 GHz,16 GB,DDR4,DDR4 SDRAM,32 GB,1 TB,Unidad híbrida,Serial ATA,,Integrada,DDR4 SDRAM,16 GB,Integrado,,1,2,CD-ROM,Windows 10,10000 kilowatt_hours,1, ,3.7 Kg,FX505DV-AL111T,5 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 240 G7 14"" Intel Celeron N4000 4GB 500GB Windows 10 Home
                    
                

                
                    
                    
                
            ","$7,590.41"," $9,417.57",23 calificaciones,HP,4.1 de 5 estrellas,HP,"HP 240 G7,Intel® Celeron® N4000 ,Windows® 10 Home 64bit Single Language, 500 HDD, 4 GB (1x4GB) DDR4 2400, LCD 14, con 2 TB de almacenamiento en la nube por 1 año",,,,14 inches,,Intel,Celeron N,2.6 GHz,4 GB,DDR4,DDR3 SDRAM,4 GB,500 GB,Mechanical Hard Drive,Serial ATA,,Integrated,DDR DRAM,,Integrado,,2,1,DVD-R,Windows 10 Home,5 watt_hours,2, ,2.2 Kg,6EH30ELIFE2TB,3 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook, 14"", Core i5 10a Gen, 8GB RAM, 512GB SSD + 32GB Optane, Plata, X412FA-BV787T
                    
                

                
                    
                    
                
            ","$15,999.00",,,Asus,,Asus,X412FA-BV787T,,,,14 inches,,Intel,Core i5-10210U,1.6 GHz,8 GB,DDR4,,12 GB,8 GB,Unidad híbrida,PCIE x 2,,Integrada,DDR4 SDRAM,8 GB,Integrado,,2,1,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.2 Kg,X412FA-BV787T,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Goldengulf 2020 - Ordenador portátil de 10,1 pulgadas Android 6.0 Quad Core Mini Notebook Netbook 8 GB WiFi Webcam USB Netflix YouTube Google Player Flash, Blanco, 25.6 cm
                    
                

                
                    
                    
                
            ","$3,783.70",,11 calificaciones,Goldengulf,2.8 de 5 estrellas,Goldengulf,CLP-290,Blanco,25 millimeters,19 centimeter,10.1 inches,1024×600,Allwinner,,,1 GB,DDR3,DDR3 SDRAM,,8 GB,,Ethernet 100Base-T,1,,,,,802.11bgn,2,,,Android,3.70 watt_hours,1, ,1.1 Kg,CLP-290,9 de abril de 2020
"
                
                    
                    
                

                
                    
                    
                        msi GF75 Thin 9SD-201MX 17.3"" 120Hz FHD Gaming Laptop, Intel Core i7-9750H, 16GB RAM,GTX 1660 Ti 6GB, 1TB HDD, 256GB SSD, Win10
                    
                

                
                    
                    
                
            ","$53,098.49",,,MSI,,msi,GF75 Thin 9SD-201MX,,,,17.3 inches,,,,,,,,,,,,,,,,,,,,,,51 watt_hours,3, ,3.5 Kg,,13 de abril de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop Gamer ROG Strix G, 15.6"", GeForce GTX 1650, Core i7, 16GB RAM, 512 BSSD, Numberpad, G531GT-AL249T
                    
                

                
                    
                    
                
            ","$29,999.00",,,Asus,,Asus,G531GT-AL249T,,,,15.6 inches,,Intel,Core i7 8750H,4.5 GHz,16 GB,DDR4,,32 GB,,Tarjeta multimedia integrada,,,GeForce GTX 1650,GDDR5,,PCI-E,,1,2,Ninguno,Windows 10,1 kilowatt_hours,1, ,5.8 Kg,,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire E 15, Intel Core 8º generación,
                    
                

                
                    
                    
                
            ","$14,599.00",,"1,516 calificaciones",Acer,4.1 de 5 estrellas,Acer,,Obsidian Black,30 millimeters,25.9 centimeter,15.6 inches,,Intel,Intel Core i5,1.6 GHz,8 GB,,DDR SDRAM,32 GB,256 GB,,,MX150,Dedicated,GDDR5,,Integrado,802.11ac,1,,DVD-RW,Windows 10,28 watt_hours,6, ,3.2 Kg,E5-576G-5762,5 de marzo de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Laptop Probook 440 G5 Intel Core I5 7200 256 GB SSD y 8 GB Ram Win 10 Pro 13"" 2 TB en la nuebe
                    
                

                
                    
                    
                
            ","$13,999.00"," $21,999.00",2 calificaciones,HP,3.0 de 5 estrellas,HP,,,,,14 inches,,Intel,Core i5 7200U,2.50 GHz,8 GB,,DDR4 SDRAM,,256 GB,,eSATA,,,,,,Bluetooth,,,,Windows,4.30 watt_hours,3, ,2.2 Kg,,9 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude 3480 2.50GHz i5-7200U 14"" 1366 x 768Pixeles Negro Portátil - Ordenador portátil (Intel® Core™ i5 de la séptima generación, 2.50 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 500 GB)
                    
                

                
                    
                    
                
            ","$11,989.00"," $22,128.00",1 calificación,Dell,2.0 de 5 estrellas,Dell,3480,Negro,8.1 centimeter,31.8 centimeter,14 inches,1366 x 768 Pixeles,Intel,8032,2.5 GHz,4 GB,"SO-DIMM, DDR4-SDRAM",,16 GB,500 GB,Mechanical Hard Drive,Serial ATA,integrated_graphics,No disponible,,,,802.11ac,1,,No,Windows 10 Pro,56 watt_hours,3, ,3.3 Kg,KWG13,26 de mayo de 2017
"
                
                    
                    
                

                
                    
                    
                        Hyundai HN4C401EB TABLET_COMPUTER, Wi-Fi, 14.1"", AMD Athlon_Dual_Core 1.10GHz, 4GB, DDR3, 500GB, DOS
                    
                

                
                    
                    
                
            ","$6,598.80",,4 calificaciones,Hyundai,2.9 de 5 estrellas,Hyundai,Hyundai Technology,Plateado,20 millimeters,35.2 centimeter,14.1 inches,,Intel,Intel Celeron,2.4 GHz,4 GB,DDR3,DDR3 SDRAM,4 GB,32 GB,,,,,,,,802.11g,1,2,None,Windows 10 Home,18.5 watt_hours,2, ,2 Kg,332050,5 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)
                    
                

                
                    
                    
                
            ","$6,139.00",,"3,206 calificaciones",Asus,4.1 de 5 estrellas,Asus,Chromebook,N3060 | 16G | Ruggedized,20.1 centimeter,23 millimeters,11.6 inches,1366 x 768 pixels,Intel,Intel Celeron,1.6 GHz,4 GB,LPDDR3-SDRAM,DDR3L-1600 SDRAM,8 GB,16 GB,,Solid State,Intel HD Graphics,integrated,Shared,,Integrado,802.11ac,,,No Optical Drive,Chrome,38 watt_hours,2, ,1.8 Kg,C202SA-YS02,23 de marzo de 2016
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook 15.6"", GeForce GTX 1650, Core i7 10a Gen, 16GB RAM, 1TB SSD, Dual Screen, Royal Blue, UX534FTC-A8068T
                    
                

                
                    
                    
                
            ","$35,999.00",,,Asus,,Asus,UX534FTC-A8068T,,,,15.6 inches,,Intel,Core i7-10510U,4.9 GHz,16 GB,DDR5 RAM,,16 GB,,Memoria flash de estado sólido,,,NVIDIA GeForce GTX 1650 MAX Q,DDR5 SDRAM,16 GB,PCI-E,,1,2,Ninguno,Windows 10,,1, ,3 Kg,,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 14"" Core i3 10a Gen, 4GB RAM + 4GB DDIM, 512GB SSD + 32GB Optane, Azul, X412FA-BV786T
                    
                

                
                    
                    
                
            ","$12,499.00"," $13,999.00",,Asus,,Asus,X412FA-BV786T,,,,14 inches,,Intel,Core i3-10110U,4.1 GHz,8 GB,DDR4,,12 GB,,Memoria flash de estado sólido,,,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.2 Kg,,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Dell 2019 Inspiron 15 6"" HD Touchscreen Flagship Premium Laptop Computer, 8th Gen Intel Core i3-8145U Up to 3.1GHz, 8GB DDR4 RAM, 128GB SSD, HDMI, USB 3.0, Bluetooth, WiFi, Windows 10 Home
                    
                

                
                    
                    
                
            ","$10,879.00",,43 calificaciones,Dell,4.1 de 5 estrellas,Dell,Dell Inspiron,,7.6 centimeter,49.3 centimeter,15.6 inches,1920x1080,Intel,Core i3 Family,2.1 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,128 GB,,Solid State,AMD Radeon R7,integrated,DDR4 SDRAM,8 GB,Integrado,802.11bgn,1,,No Optical Drive,Windows 10,40 watt_hours,3, ,2.6 Kg,I3583-3756BLK-PUS,14 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo ThinkPad T440 - Ordenador portátil (Ultrabook, Black, Clamshell, 2.9, Intel Core i7, i7-4600M)
                    
                

                
                    
                    
                
            ","$6,343.48",,2 calificaciones,Lenovo,3.3 de 5 estrellas,Lenovo,T440,Black,23.2 centimeter,21 millimeters,14 inches,1366 x 768 pixels,Intel,Intel Core i5-4200U,2.9 GHz,4 GB,DDR3-SDRAM,DDR3 SDRAM,12 GB,500 GB,HDD 7200 rpm,,Intel HD Graphics 4400,Intel HD Graphics 4600,,,,802.11ac,,2,None,Windows 8 Pro,47 watt_hours,6, ,2.9 Kg,20B6008EUS,23 de marzo de 2014
"
                
                    
                    
                

                
                    
                    
                        MSI GF63 Thin 9SC-403MX 15.6"" 60Hz FHD Gaming Laptop, Intel Core i5-9300H, 8GB RAM, GTX1650 Max Q 4GB, 1TB HDD, 128GB SSD, Win10 Home
                    
                

                
                    
                    
                
            ","$26,549.24"," $27,998.99",36 calificaciones,MSI,4.3 de 5 estrellas,MSI,GF63,Negro,25.4 centimeter,22 millimeters,15.6 inches,,Intel,Intel Core i5,2.4 GHz,8 GB,,,64 GB,,,,,,,,,802.11ac,,1,,Windows 10,51 watt_hours,3, ,3.5 Kg,GF63 Thin 9SC-403MX,1 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS Laptop BR1091T. Intel Core i5. 8GB RAM. 1TB HDD. Windows 10. 15.6"" Gris
                    
                

                
                    
                    
                
            ","$14,699.00",,50 calificaciones,Asus,4.5 de 5 estrellas,Asus,Asus Laptop,Gris,26.6 centimeter,22 millimeters,15.6 inches,,Intel,Core i5 8250U,1.6 GHz,8 GB,,,16 GB,,SATA 1TB 5400RPM 2.5' HDD,,Intel UHD Graphics 620,,,,,802.11bgn,,1,,Windows 10,42 watt_hours,1, ,3.3 Kg,X507UA-BR1091T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla de 15"" HD, Procesador A9, 4GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Pale Gold (15-db0004la)
                    
                

                
                    
                    
                
            ",,,32 calificaciones,HP,3.7 de 5 estrellas,HP,15-db0004la,"Oro, Gris",23 millimeters,24.4 centimeter,15.6 inches,1366 x 768 Pixeles,AMD,None,3.7 GHz,4 GB,SO-DIMM,,4 GB,1000 GB,,,,No disponible,,,,802.11bgn,1,2,No,Windows 10,41 watt_hours,3, ,2.5 Kg,15-db0004la,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook Duo 14"", GeForce MX250, Core i5 10a Gen, 8GB RAM, 512GB SSD, UX481FL-BM066R
                    
                

                
                    
                    
                
            ","$33,999.00"," $39,999.00",,Asus,,Asus,UX481FL-BM066R,,23.1 centimeter,5.5 centimeter,14 inches,,Intel,Core i5-10210U,1.6 GHz,8 GB,GDDR5,,8 GB,,Unidad híbrida,PCIE x 8,NVIDIA GeForce MX250,Integrada,GDDR5,8 GB,Integrado,,,3,Ninguno,Windows 10 Pro,1 kilowatt_hours,1, ,3.2 Kg,90NB0P61-M03070,6 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 5593, Pantalla 15.6"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color AZUL , I5593_i58256LW10s_520
                    
                

                
                    
                    
                
            ","$15,966.24"," $19,299.00",2 calificaciones,Dell,3.0 de 5 estrellas,Dell,Inspiron,Azul,8 millimeters,36.4 centimeter,15.6 inches,,Intel,Intel Core i5,3.6 GHz,8 GB,,,16 GB,,,,,,,,,802.11ac,,,,Windows 10,42 watt_hours,3, ,2.6 Kg,I5593_i58256LW10s_520,14 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Laptop, Pantalla de 15.6"", Intel  Core i5_8250u 1.6GHz, 8GB RAM, 1TB HDD, Bluetooth+ Wi-Fi, Windows 10, Negro (A515-51-52NC)
                    
                

                
                    
                    
                
            ","$14,499.00",,21 calificaciones,Acer,4.2 de 5 estrellas,Acer,COMACR7520,Negro,31 centimeter,7 centimeter,15.6 inches,,Intel,Intel Core i5,2.8 GHz,8 GB,,,256 GB,1000 GB,,,,,,,Integrado,802.11b/g,,2,None,Windows 10,48 watt_hours,4, ,3 Kg,COMACR7520,1 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 3593, Pantalla 14"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Plata, I3593_i58256SW10snOD_520_OPP
                    
                

                
                    
                    
                
            ","$14,499.00",,,Dell,,Dell,Inspiron 15 3593,,,,15.6,,Intel,None,3.6,8,DDR4,,16 GB,,Flash Memory Solid State,Solid State,,Integrated,DDR4 SDRAM,,Integrado,,1,,None,Windows 10,42 watt_hours,3, ,2.8 Kg,I3593_i58256SW10snOD_520_OPP,4 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lanix 45447 NOTEBOOK_COMPUTER,, 14inches, Intel CELERON N4000 HASTA 2.6GHz, MEMORIA RAM 4GB, ALMACENAMIENTO 128GB SSD, Windows 10 HOME
                    
                

                
                    
                    
                
            ","$7,360.00",,4 calificaciones,Lanix,3.5 de 5 estrellas,Lanix,LANIX,Azul,21 centimeter,10 centimeter,14 inches,1920x1080,Intel,Intel Core i5-3330S,2.6 GHz,4 GB,DDR3,DDR4 SDRAM,64 GB,128 GB,128GB SSD,Serial ATA,INTEL UHD 600,,DDR4 SDRAM,,,Bluetooth,2,3,None,Windows 10,42 watt_hours,3, ,1.7 Kg,45447,6 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Chromebook Spin 15 Convertible Laptop Intel Pentium N4200, Pantalla táctil Full HD de 15,6"", 4 GB LPDDR4, 32 GB eMMC, Wi-Fi 802.11ac, Google Chrome, CP315-1H-P8QY, Plateado
                    
                

                
                    
                    
                
            ","$10,926.62",,,Acer,,Acer,CP315-1H-P8QY,Plateado,20 millimeters,26.2 centimeter,15.6 inches,1920 x 1080 (Full HD),Intel,Pentium,1.10 GHz,4 GB,"DDR, LPDDR4",DDR SDRAM,4 GB,32 GB,,Solid State,,Integrated,Shared,,Integrado,802.11a/b/g/n/ac,,,No Optical Drive,Chrome OS,4670 milliamp_hours,3, ,2.9 Kg,CP315-1H-P8QY,14 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI GL75 9SE-224MX Notebook_Computer, 15.6inches, Intel Core_i7 2.6GHz, 6GB, GB, Windows 10,
                    
                

                
                    
                    
                
            ","$62,658.19",,,MSI,,MSI,GL-75,Negro,27.1 centimeter,28 millimeters,15.6 inches,,Intel,Intel Core i7,2.6 GHz,6 GB,DDR,DDR SDRAM,64 GB,,,,,,,,,802.11ac,,3,,Windows 10,51 watt_hours,1, ,5.5 Kg,GL75 9SE-224MX,1 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Laptop Gaming 515,  Core i7 9a.Gen, RAM 16GB, 1TB, NVIDIA GeForce RTX 2060, Windows 10, Negro (G515Vu_i7N16112860W10s_120)
                    
                

                
                    
                    
                
            ","$35,499.00",,5 calificaciones,Dell,3.6 de 5 estrellas,Dell,Inspiron  G5,Negro,9 millimeters,36.4 centimeter,15.6 inches,,Intel,Intel Core i7,4.1 GHz,16 GB,,,32 GB,1000 GB,,,NVIDIA GeForce RTX 2060,,,,,802.11ac,,,,Windows 10,60 watt_hours,4, ,4.2 Kg,G515Vu_i7N16112860W10s_120,14 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        HP x360 Convertible 14-cd0004la Laptop 14"" HD Táctil, Intel Core i3-8130U 2.2GHz, 4GB RAM, 1TB HDD, Windows 10
                    
                

                
                    
                    
                
            ","$12,012.00",,85 calificaciones,HP,3.5 de 5 estrellas,HP,14-cd0004la,"Negro, Azul",20 millimeters,22.4 centimeter,14 inches,1366 x 768 Pixeles,Intel,Intel Core i3,2.2 GHz,4 GB,DDR4-SDRAM,,4 GB,1000 GB,,Serial ATA,,Intel® UHD Graphics 620,,,,802.11bgn,,3,No,Windows 10,41 watt_hours,3, ,2.2 Kg,14-cd0004la,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Lenovo 81N5001GLM Notebook_Computer,Bluetooth+ Wi-Fi,15.6inches,Intel Core_i3 2.1GHz,4GB,DDR3,1000GB,Windows 10,Negro
                    
                

                
                    
                    
                
            ","$11,808.00"," $13,999.00",2 calificaciones,Lenovo,5.0 de 5 estrellas,Lenovo,ideaPad C340-15IWL,Negro,25 centimeter,20 millimeters,15.6 inches,,Intel,Intel Core i3,2.1 GHz,4 GB,DDR3,DDR4 SDRAM,16 GB,1000 GB,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5 watt_hours,3, ,2.9 Kg,81N5001GLM,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Laptop Latitude 3400 Intel Core I5 8265 8 GB de Ram 1 TB DD con Win 10 Pro
                    
                

                
                    
                    
                
            ","$14,399.00"," $17,000.00",2 calificaciones,Dell,5.0 de 5 estrellas,Dell,,,,,14 inches,,Intel,Core i5 8250U,1.60 GHz,8 GB,,DDR DRAM,,1 TB,,Solid State,,,,,,,,,,Windows XP Professional Edition,42 watt_hours,1, ,2.6 Kg,,16 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BR567T. AMD Dual Core R3-2200U. 6GB RAM. AMD Radeon Vega 3 Graphics. 1TB. Windows 10. 15.6"". Gris
                    
                

                
                    
                    
                
            ","$12,499.01",,3 calificaciones,Asus,5.0 de 5 estrellas,Asus,ASUS Vivobook,Matt Dark Grey,36.1 centimeter,24.4 centimeter,15.6 inches,,AMD,None,2.5 GHz,6 GB,,,16 GB,1000 GB,Sata,,AMD Radeon Vega 3,,,,,802.11ac,,1,,Windows 10,3.4 watt_hours,1, ,3.5 Kg,X505ZA-BR567T,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware Laptop Gaming DELL 15YAW,  Core i7 9a.Gen, RAM 16GB,  512GB SSD, NVIDIA GeForce RTX 2070, Windows 10, Blanco (A15YAW_i7165122070W10s_520)
                    
                

                
                    
                    
                
            ","$61,599.00",,4 calificaciones,Alienware,5.0 de 5 estrellas,Alienware,Alienware R2,Multicolor,8 millimeters,36 centimeter,15.6 inches,,Intel,Intel Core i7,4.5 GHz,16 GB,,,16 GB,,,,NVIDIA GeForce RTX 2070,,,,,802.11ac,,,,Windows 10,76 watt_hours,6, ,4.7 Kg,A15YAW_i7165122070W10s_520,5 de agosto de 2019
