,name,price_current,price_original,reviews_number,seller,score,brand,height_cm,width_cm,screen_size_in,proc_brand,proc_speed_ghz,ram,ram_type,ram_max,memory,os,battery_wh,battery_cells,weight_kg,since
10,"Asus Laptop Gamer TUF 15.6"",GeForce RTX 2060, Ryzen 5, 16GB RAM, 1TB HDD + 256GB SSD, FX505DV-AL111T",28499.0,28499.0,1,asus,5.0,asus,0.22,25.45,16,AMD,3.5,16,DDR4,32,1,Windows,42,1,3.7,2020-03-05
11,"HP Laptop 240 G7 14"" Intel Celeron N4000 4GB 500GB Windows 10 Home",7590.41,9417.57,23,hp,4.1,hp,0.22,25.45,14,Intel,2.6,4,DDR3,4,500,Windows,5,2,2.2,2019-08-03
12,"Asus Laptop VivoBook, 14"", Core i5 10a Gen, 8GB RAM, 512GB SSD + 32GB Optane, Plata, X412FA-BV787T",15999.0,15999.0,28,asus,4.0,asus,0.22,25.45,14,Intel,1.6,8,DDR4,12,8,Windows,42,1,2.2,2020-03-10
13,"Goldengulf 2020 - Ordenador portátil de 10,1 pulgadas Android 6.0 Quad Core Mini Notebook Netbook 8 GB WiFi Webcam USB Netflix YouTube Google Player Flash, Blanco, 25.6 cm",3783.7,3783.7,11,goldengulf,2.8,goldengulf,0.25,19.0,10,Allwinner,2.3,1,DDR3,16,8,Android,3,1,1.1,2020-04-09
14,"Asus Laptop Gamer ROG Strix G, 15.6"", GeForce GTX 1650, Core i7, 16GB RAM, 512 BSSD, Numberpad, G531GT-AL249T",29999.0,29999.0,28,asus,4.0,asus,0.22,25.45,16,Intel,4.5,16,DDR4,32,256,Windows,42,1,5.8,2020-03-31
15,"Acer Aspire E 15, Intel Core 8º generación,",14599.0,14599.0,1516,acer,4.1,acer,0.3,25.9,16,Intel,1.6,8,DDR,32,256,Windows,28,6,3.2,2018-03-05
16,"HP Laptop Probook 440 G5 Intel Core I5 7200 256 GB SSD y 8 GB Ram Win 10 Pro 13"" 2 TB en la nuebe",13999.0,21999.0,2,hp,3.0,hp,0.22,25.45,14,Intel,2.5,8,DDR4,16,256,Windows,4,3,2.2,2019-12-09
17,"Dell Latitude 3480 2.50GHz i5-7200U 14"" 1366 x 768Pixeles Negro Portátil - Ordenador portátil (Intel® Core™ i5 de la séptima generación, 2.50 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 500 GB)",11989.0,22128.0,1,dell,2.0,dell,0.22,31.8,14,Intel,2.5,4,DDR4,16,500,Windows,56,3,3.3,2017-05-26
18,"Hyundai HN4C401EB TABLET_COMPUTER, Wi-Fi, 14.1"", AMD Athlon_Dual_Core 1.10GHz, 4GB, DDR3, 500GB, DOS",6598.8,6598.8,4,hyundai,2.9,hyundai,0.2,35.2,14,Intel,2.4,4,DDR3,4,32,Windows,18,2,2.0,2018-06-05
19,"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)",6139.0,6139.0,3206,asus,4.1,asus,0.22,25.45,12,Intel,1.6,4,DDR3L-1600,8,16,Chrome,38,2,1.8,2016-03-23
20,"Asus Laptop ZenBook 15.6"", GeForce GTX 1650, Core i7 10a Gen, 16GB RAM, 1TB SSD, Dual Screen, Royal Blue, UX534FTC-A8068T",35999.0,35999.0,28,asus,4.0,asus,0.22,25.45,16,Intel,4.9,16,DDR4,16,256,Windows,42,1,3.0,2020-03-31
21,"Asus Laptop VivoBook 14"" Core i3 10a Gen, 4GB RAM + 4GB DDIM, 512GB SSD + 32GB Optane, Azul, X412FA-BV786T",12499.0,13999.0,28,asus,4.0,asus,0.22,25.45,14,Intel,4.1,8,DDR4,12,256,Windows,42,1,2.2,2020-03-31
22,"Dell 2019 Inspiron 15 6"" HD Touchscreen Flagship Premium Laptop Computer, 8th Gen Intel Core i3-8145U Up to 3.1GHz, 8GB DDR4 RAM, 128GB SSD, HDMI, USB 3.0, Bluetooth, WiFi, Windows 10 Home",10879.0,10879.0,43,dell,4.1,dell,0.22,25.45,16,Intel,2.1,8,DDR4,8,128,Windows,40,3,2.6,2019-07-14
23,"Lenovo ThinkPad T440 - Ordenador portátil (Ultrabook, Black, Clamshell, 2.9, Intel Core i7, i7-4600M)",6343.48,6343.48,2,lenovo,3.3,lenovo,0.22,25.45,14,Intel,2.9,4,DDR3,12,500,Windows,47,6,2.9,2014-03-23
24,"MSI GF63 Thin 9SC-403MX 15.6"" 60Hz FHD Gaming Laptop, Intel Core i5-9300H, 8GB RAM, GTX1650 Max Q 4GB, 1TB HDD, 128GB SSD, Win10 Home",26549.24,27998.99,36,msi,4.3,msi,0.22,25.45,16,Intel,2.4,8,DDR4,64,256,Windows,51,3,3.5,2019-06-01
25,"ASUS Laptop BR1091T. Intel Core i5. 8GB RAM. 1TB HDD. Windows 10. 15.6"" Gris",14699.0,14699.0,50,asus,4.5,asus,0.22,25.45,16,Intel,1.6,8,DDR4,16,256,Windows,42,1,3.3,2019-08-05
26,"HP Laptop, Pantalla de 15"" HD, Procesador A9, 4GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Pale Gold (15-db0004la)",19894.5,20224.5,32,hp,3.7,hp,0.23,24.4,16,AMD,3.7,4,DDR4,4,1000,Windows,41,3,2.5,2018-05-30
27,"Asus Laptop ZenBook Duo 14"", GeForce MX250, Core i5 10a Gen, 8GB RAM, 512GB SSD, UX481FL-BM066R",33999.0,39999.0,28,asus,4.0,asus,0.22,25.45,14,Intel,1.6,8,DDR4,8,256,Windows,42,1,3.2,2020-03-06
28,"Laptop Dell Inspiron 5593, Pantalla 15.6"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color AZUL , I5593_i58256LW10s_520",15966.24,19299.0,2,dell,3.0,dell,0.08,36.4,16,Intel,3.6,8,DDR4,16,256,Windows,42,3,2.6,2019-10-14
29,"Acer Laptop, Pantalla de 15.6"", Intel  Core i5_8250u 1.6GHz, 8GB RAM, 1TB HDD, Bluetooth+ Wi-Fi, Windows 10, Negro (A515-51-52NC)",14499.0,14499.0,21,acer,4.2,acer,0.22,25.45,16,Intel,2.8,8,DDR4,16,1000,Windows,48,4,3.0,2018-07-01
30,"Laptop Dell Inspiron 3593, Pantalla 14"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Plata, I3593_i58256SW10snOD_520_OPP",14499.0,14499.0,28,dell,4.0,dell,0.22,25.45,16,Intel,3.6,8,DDR4,16,256,Windows,42,3,2.8,2019-11-04
31,"Lanix 45447 NOTEBOOK_COMPUTER,, 14inches, Intel CELERON N4000 HASTA 2.6GHz, MEMORIA RAM 4GB, ALMACENAMIENTO 128GB SSD, Windows 10 HOME",7360.0,7360.0,4,lanix,3.5,lanix,0.22,25.45,14,Intel,2.6,4,DDR4,64,128,Windows,42,3,1.7,2019-06-06
32,"Acer Chromebook Spin 15 Convertible Laptop Intel Pentium N4200, Pantalla táctil Full HD de 15,6"", 4 GB LPDDR4, 32 GB eMMC, Wi-Fi 802.11ac, Google Chrome, CP315-1H-P8QY, Plateado",10926.62,10926.62,28,acer,4.0,acer,0.2,26.2,16,Intel,1.1,4,DDR,4,32,Chrome,56,3,2.9,2019-08-14
33,"Dell Laptop Gaming 515,  Core i7 9a.Gen, RAM 16GB, 1TB, NVIDIA GeForce RTX 2060, Windows 10, Negro (G515Vu_i7N16112860W10s_120)",35499.0,35499.0,5,dell,3.6,dell,0.09,36.4,16,Intel,4.1,16,DDR4,32,1000,Windows,60,4,4.2,2019-06-14
34,"HP x360 Convertible 14-cd0004la Laptop 14"" HD Táctil, Intel Core i3-8130U 2.2GHz, 4GB RAM, 1TB HDD, Windows 10",12012.0,12012.0,85,hp,3.5,hp,0.2,22.4,14,Intel,2.2,4,DDR4,4,1000,Windows,41,3,2.2,2018-05-30
35,"Lenovo 81N5001GLM Notebook_Computer,Bluetooth+ Wi-Fi,15.6inches,Intel Core_i3 2.1GHz,4GB,DDR3,1000GB,Windows 10,Negro",11808.0,13999.0,2,lenovo,5.0,lenovo,0.22,25.45,16,Intel,2.1,4,DDR4,16,1000,Windows,5,3,2.9,2019-08-26
36,Dell Laptop Latitude 3400 Intel Core I5 8265 8 GB de Ram 1 TB DD con Win 10 Pro,14399.0,17000.0,2,dell,5.0,dell,0.22,25.45,14,Intel,1.6,8,DDR,16,1,Windows,42,1,2.6,2019-12-16
37,"ASUS VivoBook BR567T. AMD Dual Core R3-2200U. 6GB RAM. AMD Radeon Vega 3 Graphics. 1TB. Windows 10. 15.6"". Gris",12499.01,12499.01,3,asus,5.0,asus,0.22,24.4,16,AMD,2.5,6,DDR4,16,1000,Windows,3,1,3.5,2019-04-15
38,"2020 HP 15.6"" Touchscreen Laptop Computer, Quad-Core AMD Ryzen 7 3700U up to 4.0GHz, 12GB DDR4 RAM, 256GB PCIe SSD, 802.11ac WiFi, Bluetooth 4.2, USB 3.1 Type-C, HDMI, Silver, Windows 10 Home",21099.0,21099.0,19,hp,4.4,hp,0.2,24.2,16,AMD,2.3,12,DDR4,12,256,Windows,41,3,2.2,2020-01-12
39,"Acer Swift 3, 14"" Full HD IPS, 10th Gen Intel Core i5-1035G1, 8GB LPDDR4, 256 GB PCIe NVMe SSD, Intel Wireless Wi-Fi 6 AX201 802.11ax, Teclado retroiluminado, Windows 10, SF314-57-59EY, Gris",19024.05,19024.05,7,acer,3.7,acer,0.16,21.7,14,Intel,2.3,8,DDR4,8,256,Windows,50,3,2.0,2019-12-06
40,"Lenovo Laptop IdeaPad S340-15API 15.6"", AMD RYZEN3, RAM 8GB, 2TB HDD Silver",11599.0,12499.0,7,lenovo,4.2,lenovo,0.22,25.45,16,AMD,3.5,8,DDR4,12,2000,Windows,5,3,2.5,2019-08-26
41,"HP 14 Series 14"" HD SVA BrightView WLED-Backlit Laptop, Intel 10th Gen Core i3-1005G1 up to 3.4GHz, 4GB DDR4, 128GB SSD, USB 3.1-C, Webcam, 802.11ac, Bluetooth, HDMI, Windows 10 Home in S Mode",13590.0,13590.0,2,hp,5.0,hp,0.18,32.4,14,Intel,3.4,4,DDR4,16,128,Windows,41,3,2.0,2019-12-18
42,"Asus TUF Thin & Light Gaming Laptop PC (FX504), 8th Gen Intel Core i7 | GTX 1050 Ti 4GB, Black Matter Edition",24399.0,24399.0,506,asus,4.2,asus,0.25,26.2,16,Intel,2.2,8,DDR4,32,256,Windows,48,4,3.5,2018-07-08
43,"ASUS VivoBook BR410T. AMD 2-Core A6. 6GB RAM. 1TB HDD.Windows 10.  15.6"". Roja",10999.0,10999.0,28,asus,4.0,asus,0.22,25.45,16,AMD,2.6,4,DDR4,6,256,Windows,42,1,2.5,2019-08-05
44,"Acer Chromebook 15 CB3-532-C42P Negro 39.6 cm (15.6"") 1366 x 768 Pixeles 1.6 GHz Intel® Celeron® N3060 - Ordenador portátil (Intel® Celeron®, 1.6 GHz, 39.6 cm (15.6""), 1366 x 768 Pixeles, 4 GB, 16 GB)",7046.36,7046.36,108,acer,4.0,acer,0.24,25.6,16,Intel,1.6,4,DDR3,4,16,Chrome,56,3,2.7,2017-05-26
45,"Asus Vivobook S15 S532 Portátil Delgado y Ligero de 15,6"" FHD, Intel Core i5-10210U CPU, 8GB DDR4 RAM, 512 GB PCIe SSD, Windows 10 Home, cámara IR S532FA-DH55, Musgo Verde, 15-15.99 Inches",22388.81,22388.81,5,asus,3.1,asus,0.18,23.1,16,Intel,2.3,8,DDR4,12,512,Windows,42,3,2.9,2020-03-21
46,"HP 15-da0016la Laptop 15.6"" HD, Intel Core i7-8550U 1.8GHz, 4GB RAM, 1TB HDD, Gráficos Intel UHD 620, Windows 10",19894.5,20224.5,6,hp,4.2,hp,0.22,40.0,16,All winner,3.0,4,DDR4,16,1000,Windows,41,2,2.5,2018-05-30
47,"HP Premium 17-CA1003CY 17.3 Inch HD+ Touchscreen Laptop 2TB HDD (2.4GHz AMD Ryzen 7 Quad Core, 12GB DDR RAM, RX Vega 10 Graphics, Windows 10 Home) Blue",28650.0,28650.0,1,hp,4.0,hp,0.24,27.2,17,AMD,2.4,12,DDR4,16,2,Windows,41,3,3.6,2020-01-07
48,"ASUS ZenBook Flip 14 Ultra Slim Convertible Laptop, 14"" Full HD Wideview, 8th Gen Intel Core i7-8565U Processor, 16GB LPDDR3, 512GB NVMe PCIe SSD, GeForce MX150, Stylus, Windows 10 - UX461FN-DH74T",31699.0,31699.0,73,asus,3.9,asus,0.13,22.6,14,Intel,4.6,16,DDR4,16,512,Windows,57,3,2.7,2018-12-01
49,"Lenovo Ideapad L340 - Laptop de Juego con Microsoft Office Home y Student 2019, Portátil , Negro, 15.6""",24290.14,24290.14,454,lenovo,4.4,lenovo,0.24,25.5,16,Intel,2.4,8,SODIMM,8,512,Windows,45,3,3.2,2019-09-06
50,Lenovo Ideapad 530S Laptop de 14 Pulgadas,21388.12,21388.12,2,lenovo,4.5,lenovo,0.15,32.3,14,AMD,2.0,8,DDR4,16,256,Windows,45,4,2.1,2018-10-12
51,"ASUS VivoBook BR349T. Intel Core i7. 8GB RAM. 1TB HDD. Windows 10. 15.6"". Gris",19894.5,20224.5,12,asus,3.4,asus,0.19,36.1,16,Intel,2.5,8,DDR4,16,1000,Windows,65,3,2.7,2018-03-26
52,"Dell I3480_i541TBW10s_120 Notebook_Computer,, 14inches, Intel Core_i5 3.9GHz, 4GB,, 1000GB, Windows 10,",14249.01,14249.01,5,dell,2.8,dell,0.1,33.9,14,Intel,3.9,4,DDR4,4,1000,Windows,42,3,2.5,2019-02-18
53,"Asus Chromebook Flip C436 2-in-1 Laptop, 14"" Touchscreen FHD 4-Way NanoEdge, Intel Core i3-10110U, 128GB PCIe SSD, Fingerprint, Backlit KB, Wi-Fi 6, Chrome OS, C436FA-DS388T, Magnesium-Alloy, Silver",22413.64,22413.64,2,asus,3.0,asus,0.14,20.6,14,Intel,4.1,8,DDR3,8,256,Chrome,42,3,2.7,2020-02-24
54,"Laptop Dell Inspiron 5391, Pantalla 13.3"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color Plata, I5391_i58256SW10s_520",20699.0,20699.0,28,dell,4.0,dell,0.07,30.8,13,Intel,4.4,8,DDR4,16,256,Windows,45,4,2.0,2019-09-23
55,"Dell Inspiron I5480 Pantalla 15.6”, Intel Core i5, 8 GB RAM, 256 GB SSD, NVIDIA GeForce MX250 2GB, Windows 10",21099.0,21099.0,2,dell,5.0,dell,0.08,32.4,14,Intel,3.9,8,DDR4,32,256,Windows,42,3,2.3,2019-08-05
56,"ASUS Chromebook Flip C302CA-DH54 Gris, Plata 31.8 cm (12.5"") 1920 x 1080 Pixeles Pantalla táctil 1.1 GHz Intel® Core™ M m5-6Y54 - Ordenador portátil (Intel® Core™ M, 1.1 GHz, 31.8 cm (12.5""), 1920 x 1080 Pixeles, 4 GB, 64 GB)",13799.0,13799.0,1812,asus,4.1,asus,0.13,21.1,12,Intel,1.1,4,DDR3,4,64,Chrome,39,2,1.9,2017-08-18
57,"HP 15-da053wm Plata Portátil 39.6 cm (15.6"") 1366 x 768 Pixeles Pantalla táctil 1.60 GHz 8ª generación de procesadores Intel® Core™ i5 i5-8250U - Ordenador portátil (8ª generación de procesadores Intel® Core™ i5, 1.60 GHz, 39.6 cm (15.6""), 1366 x 768 Pixeles, 4 GB, 1000 GB)",15519.0,15519.0,14,hp,4.1,hp,0.23,24.6,16,Intel,1.6,4,DDR,16,1000,Windows,41,3,2.8,2018-05-29
58,"Asus VivoBook S17 S712 FHD, Intel Core i7-10510U CPU, 8GB DDR4 RAM, 256GB PCIe NVMe SSD + 1TB HDD, Windows 10 Home, S712FA-DS76, Color Plateado Transparente",22395.97,22395.97,3260,asus,4.1,asus,0.2,25.6,17,Intel,2.3,8,DDR4,16,256,Windows,47,3,3.3,2020-02-12
59,"Asus Chromebook C425 Clamshell Laptop, 14"" FHD 4-Way NanoEdge, Intel Core M3-8100Y Processor, 8GB RAM, 64GB eMMC Storage, Backlit KB, Silver, Chrome OS, C425TA-DH384",16150.0,16150.0,378,asus,4.3,asus,0.18,20.8,14,Intel,3.4,8,DDR3,8,64,Chrome,48,3,2.3,2019-11-07
60,"MSI Prestige 14 A10SC-051 White 14"" Ultra Delgado y Ligero Profesional, 14""|MX250|i5-10210U|8GB|512GB NVMe, 14-14.99 Inches",25186.96,25186.96,7,msi,3.7,msi,0.16,22.2,14,Intel,2.3,8,SODIMM,128,512,Windows,42,4,3.0,2019-08-29
61,"Lenovo Laptop IdeaPad L340-15API 15.6"", AMD RYZEN 7, RAM 8GB,2TB HDD Black",15999.0,15999.0,1,lenovo,5.0,lenovo,0.23,36.3,16,Intel,2.3,8,DDR4,16,256,Windows,42,4,2.5,2020-02-05
62,"Dell I7380_i5825SW10s_219 Laptop 13.3"", Intel Corei5  3.9GHz, 8GB RAM, 256GB SSD, Windows 10, color Plateado",20699.01,20699.01,2,dell,3.5,dell,0.1,31.0,13,Intel,3.9,8,DDR4,8,256,Windows,38,3,2.1,2018-09-03
63,"HP 2019 14"" Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame (14-CF0014DX)",19894.5,20224.5,650,hp,4.3,hp,0.22,25.45,14,Intel,2.4,8,DDR4,128,1,Windows,41,3,2.0,2018-12-01
64,"Lenovo Thinkpad E590_8_256_HD Parent, Negro, 16GB/512GB PCIe SSD",19894.5,20224.5,154,lenovo,4.1,lenovo,0.2,36.9,16,Intel,1.6,16,DDR4,16,512,Windows,5,3,2.8,2019-06-29
65,"Laptop Asus S510UA-DS7 15.6""  8GB RAM 1128 GB HDD Intel HD Graphics 620  Windows 10, teclado en inglés - Color oro",19999.0,19999.0,205,asus,4.3,asus,0.18,24.4,16,AMD,1.8,8,DDR4,16,1128,Windows,42,3,2.5,2018-01-24
66,"Panasonic Toughbook CF-31 3ª generación, 8 GB | 240 SSD",12478.27,12478.27,16,amazon renewed,4.3,toughbook,0.22,25.45,13,Intel,2.7,8,DDR3,16,240,Windows,87,1,4.9,2019-03-07
67,"HP Probook 440 Laptop, 8GB | 256GB SSD | 14 Inch",14499.0,14499.0,4,hp,3.7,hp,0.2,33.6,14,Intel,2.5,8,DDR4,16,256,Windows,48,3,2.2,2019-06-07
68,"HP 15-da0011la Laptop 15.6"" HD, Intel Core i5 1.6GHz, 8GB RAM, 1TB HDD, NVIDIA GeForce MX110, Windows 10",17899.0,17899.0,18,hp,4.5,hp,0.22,25.45,16,Intel,1.6,8,GDDR3,8,1000,Windows,41,1,2.6,2018-05-30
69,"HP Laptop con pantalla táctil de 14"" para el hogar y el negocio, Ryzen 3-3200U, 8 GB de RAM, 128 GB SSD M.2, doble núcleo hasta 3.50 GHz, Vega 3 Graphics, RJ-45, USB-C, salida 4K HDMI, Bluetooth, cámara web, 1366x768, Windows 10",19894.5,20224.5,130,hp,4.3,hp,0.2,22.6,14,AMD,2.6,8,DDR4,16,128,Windows,4,2,2.0,2019-11-24
70,"Asus 2019 ROG 15.6"" FHD Gaming Ordenador, Intel Hexa-Core i7-9750H hasta 4,5 GB 16 GB DDR4, 1TB HDD + 512 GB SSD, NVIDIA GeForce GTX 1650, Wi-Fi 802.11ac, HDMI, USB 3.0, Windows 10",36450.0,36450.0,123,asus,4.3,asus,0.26,26.2,16,Intel,2.5,16,DDR4,128,512,Windows,31,3,3.9,2019-06-27
71,"Dell COMDEL1170 Computadora Portátil Inspiron 13 5391 Intel Core i7 10a, 8 GB, 13.3 Pulgadas, NVIDIA GeForce MX250, Windows 10 Home, 256 GB M.2 PCIE 35",25963.18,25963.18,2,dell,3.1,dell,0.07,30.8,13,Intel,4.9,8,DDR4,8,256,Windows,45,4,2.0,2019-09-23
72,"Alienware - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hybrid Drive + 128GB Solid State Drive - Silver",19894.5,20224.5,208,alienware,4.2,alienware,0.2,27.4,16,Intel,4.1,16,DDR4,32,1000,Windows,60,1,4.6,2019-01-05
73,"Acer Chromebook 15, Intel Atom X5-E8000 Quad-Core Processor, 15.6"" HD, 4GB LPDDR3, 16GB eMMC, CB3-532-108H 15.4"" 1280 x 800Pixeles Negro computadora Notebook",19894.5,20224.5,68,acer,4.1,acer,0.24,25.6,16,Intel,2.0,4,DDR4,4,16,Chrome,47,3,2.7,2019-07-13
74,"ASUS  GAMER. TUF AL044T. Ryzen 7. 8GB RAM. NVIDIA GeForce GTX 1650. 1TB HDD. Windows 10. 15.6"". Negra",24595.0,26999.0,2,asus,5.0,asus,0.22,25.45,16,NVIDIA,2.3,8,DDR4,32,256,Windows,42,1,3.4,2019-08-05
75,"2020_Dell Inspiron 14"" Laptop 10th Gen Intel Quad-Core i5-1035G4, 8GB DDR4 RAM, 128 GB SSD, WiFi + Bluetooth, HDMI, i5-8265u | 8GB RAM | 256GB SSD",19894.5,20224.5,374,dell,4.3,dell,0.2,25.9,16,Intel,1.6,8,DDR4,0,256,Windows,5,2,2.8,2019-11-25
76,"Asus X441BA-CBA6A Laptop Plata Portátil 35.6 cm (14"") 1366 x 768 Pixeles 2.6 GHz AMD A A6-9225 - Ordenador portátil (AMD A, 2.6 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 500 GB)",19894.5,20224.5,144,asus,3.5,asus,0.28,34.7,14,AMD,2.6,4,DDR4,12,500,Windows,45,3,2.3,2019-03-08
77,"Dell V3468i5Kbs81TW10P1W 1GJDJ NOTEBOOK_COMPUTER, 14inches, Intel Intel_Core_i5_3330S 2.25GHz, 8GB, GB, Windows 10,",19249.43,19249.43,3,dell,3.0,dell,0.22,25.45,14,Intel,2.25,8,DDR4,8,256,Windows,40,4,2.7,2019-02-28
78,"MSI Thin GF75 Laptop, 17.3"" FHD Display, Intel Core i7-9750H Upto 4.5GHz, 32GB RAM, 1TB NVMe SSD + 1TB HDD, NVIDIA GeForce GTX 1050 Ti, HDMI, Wi-Fi, Bluetooth, Windows 10 Pro",19894.5,20224.5,4,msi,4.7,msi,0.23,39.7,17,Intel,2.6,32,SODIMM,16,1,Windows,42,3,3.2,2019-12-22
79,"Dell Inspiron I5570_i7F82T4GSW10s_119 Laptop 15.6"" FHD, Intel Core i7-8550U, 8GB RAM, 2048GB, Windows 10",19894.5,20224.5,11,dell,3.7,dell,0.1,38.0,16,Intel,4.0,8,DDR4,16,2048,Windows,42,1,3.0,2018-05-11
80,"Acer SF315-41G-R6MP Swift 3, 15.6"" Full HD, AMD Ryzen 7 2700U, Radeon RX 540 Gráficos, 8GB DDR4, 256GB SSD, Windows 10, Negro",18858.35,18858.35,64,acer,3.9,acer,0.19,25.5,16,AMD,3.8,8,DDR4,8,256,Windows,32,4,3.0,2018-09-29
81,"Acer Swift 5, 14"" Full HD Touch, 8th Gen Intel Core i5-8250U, 8GB LPDDR3, 256GB SSD, Windows 10, SF514-52T-50AQ",25908.77,25908.77,10,acer,3.6,acer,0.15,22.8,14,Intel,1.6,8,DDR4,8,256,Windows,46,2,1.9,2017-10-08
82,"Lenovo Flex 14 2-en-1 portÃ¡til Convertible, 14 Pulgadas FHD (1920 x 1080) visualizaciÃ³n tÃ¡ctil, procesador AMD Ryzen 5 3500U, 12 GB DDR4 RAM, 256 GB NVMe SSD, Windows 10, 81SS000DUS, Negro",19894.5,20224.5,1433,lenovo,4.4,lenovo,0.18,22.9,14,AMD,2.1,12,DDR4,8,256,Windows,45,4,2.2,2019-07-11
83,"MSI GF75 Thin 120Hz FHD Gaming Laptop Intel Core i7-9750H, NVIDIA GTX 1650, 16 GB, 512 GB Nvme SSD, Win10, GTX1650, i7-9750, 512 GB., 17""-3099 Inches",19894.5,20224.5,92,msi,4.5,msi,0.23,26.0,17,Intel,2.6,16,SODIMM,64,512,Windows,51,3,4.0,2019-09-19
84,"Acer Aspire 5, 15.6"" Full HD IPS visualización, 8th Gen Intel Core i5-8265U, 8GB DDR4, 256GB PCIe NVMe SSD, Teclado retroiluminado, Lector de Huellas Dactilares, Windows 10 Home, A515-54-51DJ",19894.5,20224.5,1477,acer,4.4,acer,0.18,25.0,16,Intel,3.9,8,DDR4,16,256,Windows,38,3,2.6,2019-05-25
85,"Acer E5-576-392H Aspire E 15 Laptop Full HD, 8º Gen Intel Core i3-8130U, 6GB de memoria RAM, 1TB HDD, 8X DVD, Negro obsidiana, 15.6 pulgadas [Teclado ingles]",19894.5,20224.5,2621,acer,4.2,acer,0.3,25.9,16,Intel,2.2,6,DDR3,32,1000,Windows,28,6,3.1,2018-03-27
